,Year,Quarter,Month
0,2019.0,3.0,9.0
1,2019.0,3.0,9.0
2,2019.0,3.0,9.0
3,2019.0,3.0,9.0
4,2019.0,3.0,9.0
5,2019.0,3.0,9.0
6,2019.0,3.0,9.0
7,2019.0,3.0,9.0
8,2019.0,4.0,11.0
9,2019.0,4.0,10.0
10,2019.0,4.0,10.0
